0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sh	0	sh	0	b	b	b	0	0	0	sh
0	0	0	0	sh	0	0	0	0	sh	0	0	0	0	0	sh	sh	0	w	0	sh	0	sh	sh	sh	xz	xz	xz	b	sh	0	0
0	0	0	0	0	0	w	0	0	0	0	sh	w	0	0	w	sh	sh	0	0	sh	sh	sh	b	b	xz	xz	xz	xz	xz	b	0
0	sh	0	0	0	0	0	sh	0	0	0	0	0	0	0	0	0	0	0	0	0	sh	sh	b	xz	xz	xz	xz	xz	xz	xz	b
0	0	0	0	0	0	w	0	w	0	sh	0	0	sh	0	0	0	0	b	b	b	b	b	b	xz	xz	xz	xz	xz	xz	xz	b
0	i	0	w	0	0	0	0	0	0	0	0	0	0	b	b	b	b	b	0	b	b	b	b	xz	xz	xz	i	xz	xz	b	0
0	0	w	w	i	0	sh	0	0	0	b	b	b	b	0	0	0	0	0	0	0	0	0	b	xz	xz	xz	xz	xz	b	0	0
0	0	i	0	0	0	0	0	b	b	b	0	0	0	0	0	w	0	0	0	w	0	0	0	xz	i	xz	xz	xz	b	sh	sh
0	w	0	i	0	0	b	b	0	0	0	0	0	w	0	0	w	0	bu	0	0	bu	0	w	xz	xz	xz	xz	xz	b	0	0
0	i	0	0	i	b	0	w	0	bu	0	0	0	i	0	bu	0	0	0	bu	bu	0	bu	0	0	xz	xz	xz	xz	xz	b	0
0	0	i	0	b	0	bu	0	bu	0	w	0	0	0	0	0	0	0	0	0	0	0	0	0	b	b	xz	xz	xz	xz	xz	b
0	0	w	0	b	0	0	0	bu	0	0	0	0	b	b	b	b	b	b	b	b	b	b	b	b	xz	xz	xz	xz	xz	xz	b
0	i	0	w	b	0	0	0	0	b	b	b	b	0	0	0	0	0	0	0	sh	sh	sh	sh	b	xz	xz	xz	xz	xz	xz	b
0	0	w	w	b	0	0	0	b	sh	0	sh	0	0	sh	0	0	0	0	0	0	sh	sh	0	b	b	xz	xz	xz	xz	xz	b
w	0	i	0	b	b	b	b	0	0	0	0	0	0	0	0	0	0	sh	w	0	0	sh	sh	0	b	b	xz	xz	xz	xz	b
0	0	w	0	0	0	0	0	sh	0	0	0	0	w	0	0	sh	0	sh	0	0	0	sh	0	0	0	0	b	b	b	b	b
0	0	i	0	i	0	0	0	w	0	0	0	sh	0	sh	0	0	0	sh	0	w	sh	0	sh	sh	0	sh	sh	0	0	0	0
0	i	w	0	0	0	0	w	0	sh	0	w	0	0	0	0	0	0	0	0	0	0	sh	0	0	sh	0	0	sh	0	sh	sh
